Year_Week,DEM,REP,Period_DEM,Period_REP,Total_Period,Dem_Ratio,Rep_Ratio,Segment
2024-W40,150089,265017,150089,265017,415106,0.36156788868385425,0.6384321113161457,Medium
2024-W41,134763,39027,134763,39027,173790,0.7754358708786466,0.22456412912135335,Medium
2024-W42,143696,175900,143696,175900,319596,0.44961764227337014,0.5503823577266299,Medium
2024-W43,165996,72901,165996,72901,238897,0.6948433843874138,0.30515661561258617,Medium
2024-W44,195797,135284,195797,135284,331081,0.591387001972327,0.408612998027673,Medium
2024-W45,38452,243891,38452,243891,282343,0.13618896165302485,0.8638110383469751,Medium
2024-W14,88785,21261,88785,21261,110046,0.8067989749741017,0.19320102502589825,Large
2024-W15,139646,115708,139646,115708,255354,0.5468721852800426,0.4531278147199574,Large
2024-W16,252266,150337,252266,150337,402603,0.6265874819611379,0.3734125180388621,Large
2024-W17,229648,90573,229648,90573,320221,0.7171547150249359,0.2828452849750641,Large
2024-W18,182782,154343,182782,154343,337125,0.5421787170930664,0.45782128290693364,Large
2024-W19,170140,57931,170140,57931,228071,0.7459957644768515,0.2540042355231485,Large
2024-W20,133482,85944,133482,85944,219426,0.6083235350414262,0.3916764649585737,Large
2024-W21,177169,240732,177169,240732,417901,0.4239496914340956,0.5760503085659043,Large
2024-W22,227562,220623,227562,220623,448185,0.5077412229324944,0.4922587770675056,Large
2024-W23,229840,143036,229840,143036,372876,0.6163979446250228,0.3836020553749772,Large
2024-W24,444280,243818,444280,243818,688098,0.6456638443942578,0.3543361556057422,Large
2024-W25,247737,107506,247737,107506,355243,0.6973733472580741,0.30262665274192596,Large
2024-W26,469742,220054,469742,220054,689796,0.6809868424867642,0.3190131575132358,Large
2024-W27,163151,13400,163151,13400,176551,0.9241012511965381,0.07589874880346188,Large
2024-W28,228836,77372,228836,77372,306208,0.747322081722228,0.252677918277772,Large
2024-W29,342683,98420,342683,98420,441103,0.7768775093345545,0.22312249066544548,Large
2024-W30,322857,151486,322857,151486,474343,0.6806403804841644,0.3193596195158356,Large
2024-W31,371380,325690,371380,325690,697070,0.532772892248985,0.46722710775101495,Large
2024-W32,355288,156945,355288,156945,512233,0.6936062299773735,0.3063937700226264,Large
2024-W33,347642,120309,347642,120309,467951,0.7429025688587053,0.2570974311412947,Large
2024-W34,414529,172191,414529,172191,586720,0.7065192937005726,0.29348070629942735,Large
2024-W35,430029,412748,430029,412748,842777,0.5102524155262899,0.48974758447371014,Large
2024-W36,396093,158836,396093,158836,554929,0.7137723925042663,0.28622760749573367,Large
2024-W37,484602,94918,484602,94918,579520,0.8362127277747101,0.16378727222528988,Large
2024-W38,440205,145685,440205,145685,585890,0.7513441089624332,0.24865589103756677,Large
2024-W39,593501,177594,593501,177594,771095,0.7696859660612505,0.23031403393874944,Large
2024-W40,472785,472639,472785,472639,945424,0.5000772140330687,0.49992278596693124,Large
2024-W41,456181,162303,456181,162303,618484,0.7375793068211951,0.26242069317880495,Large
2024-W42,377695,406729,377695,406729,784424,0.4814934270241604,0.5185065729758396,Large
2024-W43,356210,199496,356210,199496,555706,0.641004416004146,0.3589955839958539,Large
2024-W44,539299,295667,539299,295667,834966,0.6458933657178855,0.3541066342821145,Large
2024-W45,93218,523961,93218,523961,617179,0.15103883962351278,0.8489611603764872,Large
